Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6168,0.066958495,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,8891,0.051175346,Monocyte Liver
T Cell IL7R,TRM_TNF,CD4,3554,0.033483399,T Cell LTB_high Liver
T Cell IL7R,TRM_TNF,CD4,1568,0.039540816,T Cell LTB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5229,0.037674508,Endothelial Cell SELE_high Liver
NK/T Cell GNLY,NA,NA,2035,0.026044226,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5551,0.059989191,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1665,0.097297297,Monocyte Liver
T Cell IL7R,TCM_STMN1,CD4,2185,0.036613272,T Cell LTB_high Liver
B Cell CD79A,Memory_B_TNF,B_and_plasma,2066,0.049854792,B Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,6587,0.0203431,Lymphatic Endothelial Cell Liver
T Cell IL7R,TRM_TNF,CD4,3537,0.026010744,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,3040,0.044736842,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1897,0.049551924,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,2423,0.031366075,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3010,0.089036545,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4902,0.065891473,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,1443,0.032571033,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,2923,0.028395484,NK/T Cell Liver
T Cell GZMK,NA,NA,1942,0.045829042,T GD Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1077,0.022284123,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,1046,0.056405354,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1205,0.083817427,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2899,0.082097275,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7433,0.052872326,Macrophage C1QB_high Liver
B Cell CD79A,Plasma_IGKV3-20,B_and_plasma,1373,0.091041515,B Cell Liver
T Cell GZMK,TRM_TYMS,CD8,3883,0.028586145,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8306,0.075487599,Macrophage C1QB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2841,0.013375572,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1232,0.091720779,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3945,0.061089987,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2090,0.066985646,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3192,0.09273183,Lymphatic Endothelial Cell Liver
T Cell XCL1,TEM_INFG,CD8,1666,0.043817527,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,2048,0.057128906,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8187,0.047880787,Macrophage C1QB_high Liver
B Cell CD79A,Naive_B_ly_TCL1A,B_and_plasma,1444,0.045706371,B Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5721,0.043873449,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5954,0.064326503,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9115,0.058036204,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,2222,0.136813681,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1744,0.045298165,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3404,0.102526439,Monocyte Liver
T Cell GZMK,NA,NA,1743,0.05794607,CD8 T Cell GZMK_high Liver
T Cell XCL1,TCM_STMN1,CD4,1306,0.081163859,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3121,0.070169817,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2572,0.054821151,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5758,0.054880167,Macrophage C1QB_high Liver
Monocyte,NA,NA,2006,0.0777667,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4353,0.049850678,Macrophage LST1_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4585,0.041875682,Lymphatic Endothelial Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3506,0.035367941,Lymphatic Endothelial Cell Liver
T Cell XCL1,TEM_INFG,CD8,1549,0.079406068,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4733,0.088949926,Macrophage LST1_high Liver
T Cell XCL1,TEM_GZMK,CD8,1157,0.087294728,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1733,0.049047894,CD8 T Cell GZMK_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,5210,0.113243762,Hepatic Oval Cell Liver
T Cell GZMK,TEM_INFG,CD8,1146,0.046247818,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5562,0.045846818,Macrophage C1QB_high Liver
T Cell XCL1,MAIT_SLC4A10,CD8,1578,0.10139417,T Cell LTB_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,2587,0.069578663,B Cell Liver
T Cell GZMK,TEM_INFG,CD8,2000,0.0515,CD8 T Cell TRBV4-2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4467,0.075889859,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,2893,0.061527826,T Cell LTB_high Liver
T Cell IL7R,TRM_TNF,CD4,1986,0.044813696,T Cell LTB_high Liver
Endothelial Cell ACKR1,LEC_FCN3,Endothelial_cell,1591,0.121935889,Lymphatic Endothelial Cell Liver
NK/T Cell GNLY,NA,NA,1528,0.056937173,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3326,0.104630186,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,1690,0.050887574,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,2078,0.050048123,NK/T Cell Liver
T Cell GZMK,TRM_TNF,CD4,3460,0.051734104,T Cell LTB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2887,0.06373398,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1672,0.050837321,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3449,0.075964048,Monocyte Liver
NK/T Cell GNLY,NA,NA,1517,0.04218853,NK/T Cell Liver
Monocyte,Mac_SDC3,Myeloid,6162,0.100129828,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,2111,0.031738513,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5045,0.0432111,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4923,0.044891326,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3129,0.081495686,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2410,0.064315353,Macrophage LST1_high Liver
Macrophage C1QB,Mac_RNASE1,Myeloid,1830,0.078142077,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2322,0.144272179,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2230,0.086995516,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3012,0.046480744,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,7940,0.055037783,Macrophage LST1_high Liver
T Cell XCL1,TN/CM_GADD45B,CD8,1354,0.104874446,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1713,0.062463514,Monocyte Liver
T Cell GZMK,TEM_GZMK,CD8,1765,0.040226629,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2210,0.070135747,Macrophage LST1_high Liver
Monocyte,Mac_SDC3,Myeloid,5709,0.056051848,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1450,0.037241379,CD8 T Cell TRBV4-2_high Liver
T Cell IL7R,TRM_TNF,CD4,2402,0.071606994,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,2277,0.036012297,NK/T Cell Liver
T Cell IL7R,TN/CM_LEF1,CD8,2356,0.037775891,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2164,0.05961183,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4284,0.055788982,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4978,0.064483728,Monocyte Liver
Monocyte,Mac_SDC3,Myeloid,2360,0.063983051,Macrophage LST1_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1902,0.049421661,B Cell Liver
T Cell IL7R,TRM_TNF,CD4,1777,0.027574564,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5194,0.042549095,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5166,0.049167635,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5911,0.028083235,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_INFG,CD8,1701,0.064079953,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1262,0.08637084,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1551,0.041908446,CD8 T Cell GZMK_high Liver
T Cell IL7R,TN/CM_GADD45B,CD8,2563,0.042138119,T Cell LTB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1775,0.05915493,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1557,0.073217726,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1688,0.072274882,Lymphatic Endothelial Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1922,0.103537981,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3847,0.135430205,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1684,0.065914489,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2096,0.043416031,Lymphatic Endothelial Cell Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,4696,0.03407155,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_INFG,CD8,1815,0.050137741,CD8 T Cell TRBV4-2_high Liver
T Cell IL7R,TRM_TNF,CD4,3157,0.037694013,T Cell LTB_high Liver
T Cell XCL1,TEM_INFG,CD8,1079,0.027803522,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2221,0.097703737,Macrophage LST1_high Liver
Macrophage C1QB,Non_Classicial_Mon_FCGR3A,Myeloid,5932,0.087322994,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,1818,0.074257426,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5590,0.059570662,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1657,0.036210018,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1223,0.098119379,Monocyte Liver
Fibroblast C7,BEC_IGFBP3,Endothelial_cell,1722,0.108594657,Endothelial Cell SLC9A3R2_high Liver
T Cell XCL1,TEM_INFG,CD8,1626,0.113776138,CD8 T Cell GZMK_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2500,0.0664,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1495,0.036120401,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2132,0.056285178,Monocyte Liver
B Cell CD79A,Naive_B_ly_TCL1A,B_and_plasma,2140,0.043925234,B Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,1745,0.04756447,T Cell LTB_high Liver
T Cell IL7R,TRM_TNF,CD4,2623,0.059473885,T Cell LTB_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,7131,0.035759361,Endothelial Cell SELE_high Liver
T Cell GZMK,NA,NA,1779,0.050028106,T GD Cell Liver
T Cell GZMK,TEFF_GNLY,CD8,1323,0.048374906,T GD Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2828,0.055162659,Endothelial Cell SELE_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3795,0.079314888,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1119,0.079535299,Monocyte Liver
NK/T Cell GNLY,NA,NA,5861,0.037877495,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4251,0.067513526,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4921,0.067872384,Macrophage LST1_high Liver
T Cell GZMK,TRM_TYMS,CD8,4698,0.051511281,High Proliferation CD8 T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1240,0.062096774,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9687,0.032104883,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2759,0.093149692,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1376,0.085755814,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3997,0.078058544,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2066,0.09196515,Monocyte Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2076,0.047206166,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4574,0.084390031,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1911,0.028257457,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1731,0.063547083,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5239,0.066997519,Monocyte Liver
T Cell XCL1,TRM_LMNA,CD4,1944,0.082304527,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1618,0.046353523,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5534,0.034875316,Macrophage LST1_high Liver
T Cell GZMK,Th1_NKG7,CD4,1943,0.056098816,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5589,0.052245482,Macrophage LST1_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2578,0.054305663,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1972,0.037018256,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1607,0.054138146,Monocyte Liver
Macrophage C1QB,Mac_RNASE1,Myeloid,2096,0.072996183,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,2025,0.043950617,NK/T Cell Liver
T Cell GZMK,NA,NA,2205,0.057142857,T GD Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1547,0.049773756,Monocyte Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2354,0.059048428,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,2223,0.060278902,CD8 T Cell GZMK_high Liver
Monocyte,Mac_SDC3,Myeloid,3590,0.060445682,Macrophage LST1_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,2185,0.026086957,CD8 T Cell GZMK_high Liver
T Cell XCL1,TEM_INFG,CD8,1944,0.115226337,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1629,0.158993247,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2617,0.08826901,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,1078,0.070500928,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1932,0.078674948,Monocyte Liver
Monocyte,Intermediate_Mon_FN1,Myeloid,3070,0.071335505,Macrophage C1QB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5415,0.067220683,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3988,0.081243731,Macrophage C1QB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2621,0.091949638,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2767,0.07264185,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1918,0.05265902,CD8 T Cell TRBV4-2_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3940,0.045685279,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1158,0.056994819,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1126,0.034635879,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1578,0.105196451,T GD Cell Liver
T Cell XCL1,TRM_TNF,CD4,1042,0.138195777,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2257,0.049623394,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1627,0.01659496,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5573,0.044679706,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2483,0.099879178,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6570,0.038812785,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1098,0.061930783,CD8 T Cell GZMK_high Liver
T Cell GZMK,TRM_TYMS,CD8,1851,0.057806591,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1239,0.055690073,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2031,0.094534712,Macrophage C1QB_high Liver
T Cell XCL1,TRM_TYMS,CD8,3695,0.033017591,High Proliferation CD8 T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3623,0.055202871,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4932,0.065693431,Macrophage LST1_high Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,6453,0.034247637,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4242,0.079679397,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,6492,0.034041898,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1422,0.071026723,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3346,0.072922893,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,4259,0.030993191,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,Th1_NKG7,CD4,1658,0.060916767,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2308,0.070623917,Monocyte Liver
T Cell IL7R,Treg_CTLA4,CD4,2484,0.035426731,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2919,0.077423775,Macrophage LST1_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,2772,0.075036075,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,5282,0.066452101,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6607,0.060844559,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,1710,0.088304094,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6229,0.035800289,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1240,0.07016129,NK/T Cell Liver
T Cell IL7R,TEM_GZMK,CD4,1879,0.045236828,T Cell LTB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1277,0.06577917,Endothelial Cell SELE_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,2201,0.069059518,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1554,0.099099099,Monocyte Liver
T Cell GZMK,MAIT_SLC4A10,CD8,1954,0.053735926,T Cell LTB_high Liver
Smooth Muscle Cell,Smo_MYH11_high,FibSmo,2645,0.074480151,Smooth Muscle Cell Liver
T Cell XCL1,TRM_TNF,CD4,2774,0.037490988,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1849,0.058409951,NK/T Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6865,0.064238893,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6571,0.093897428,Macrophage LST1_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,3279,0.048185422,CD8 T Cell GZMK_high Liver
Lymphatic Endothelial Cell,LEC_CCL21,Endothelial_cell,1088,0.094669118,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2905,0.064027539,Monocyte Liver
T Cell IL7R,TCM_STMN1,CD4,2224,0.020683453,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1804,0.062084257,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6517,0.075648304,Macrophage C1QB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3907,0.062452009,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1201,0.029142381,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1550,0.06516129,Macrophage C1QB_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1425,0.061754386,B Cell Liver
T Cell GZMK,NA,NA,1826,0.047097481,T GD Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4055,0.039704069,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1406,0.097439545,Monocyte Liver
T Cell GZMK,Th1_NKG7,CD4,1369,0.054054054,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3337,0.080611328,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7302,0.03259381,Macrophage C1QB_high Liver
Monocyte,Mac_SDC3,Myeloid,1756,0.102505695,Macrophage LST1_high Liver
Monocyte,Mac_SDC3,Myeloid,4097,0.043690505,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2781,0.096727796,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1623,0.069624153,T GD Cell Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,4456,0.050718133,Smooth Muscle Cell Liver
Endothelial Cell FABP4,BEC_IGFBP3,Endothelial_cell,2988,0.007028112,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TEM_INFG,CD8,1684,0.063539192,CD8 T Cell GZMK_high Liver
T Cell XCL1,TEM_INFG,CD8,1905,0.104461942,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,7244,0.038376588,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4833,0.059797227,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,4379,0.084950902,Monocyte Liver
T Cell GZMK,MAIT_SLC4A10,CD8,3632,0.032488987,T Cell LTB_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1766,0.070781427,B Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1213,0.069249794,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1848,0.056818182,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1736,0.082373272,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1762,0.044835414,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6372,0.068581293,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6932,0.07169648,Macrophage C1QB_high Liver
T Cell GZMK,TRM_TYMS,CD8,3425,0.045547445,CD8 T Cell GZMK_high Liver
T Cell IL7R,TN_LINC00861,CD4,1447,0.042156185,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1865,0.037533512,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5276,0.074488249,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,2291,0.038411174,NK/T Cell Liver
T Cell GZMK,TRM_TYMS,CD8,2644,0.059001513,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1631,0.07050889,Macrophage C1QB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2078,0.045717036,Lymphatic Endothelial Cell Liver
NK/T Cell GNLY,NA,NA,4783,0.085720259,High Proliferation CD8 T Cell Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,3694,0.064699513,Smooth Muscle Cell Liver
T Cell GZMK,NA,NA,2950,0.048813559,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4626,0.07868569,Macrophage LST1_high Liver
T Cell IL7R,TRM_MT1E,CD4,3008,0.002992021,T Cell MT1E_high Liver
NK/T Cell GNLY,NA,NA,1585,0.052996845,NK/T Cell Liver
T Cell IL7R,TRM_TNF,CD4,1862,0.035445757,T Cell LTB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1616,0.051980198,CD8 T Cell TRBV4-2_high Liver
T Cell XCL1,TRM_TNF,CD4,1191,0.050377834,CD8 T Cell GZMK_high Liver
Monocyte,Mac_SDC3,Myeloid,3443,0.064478652,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,2089,0.062230732,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1420,0.035915493,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,1131,0.059239611,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1004,0.066733068,CD8 T Cell GZMK_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,5415,0.077746999,Hepatic Oval Cell Liver
T Cell GZMK,NA,NA,2197,0.035958125,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1944,0.041152263,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4041,0.048502846,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_GZMK,CD8,2219,0.075259126,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1798,0.055061179,T GD Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3377,0.082321587,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2093,0.084089823,Monocyte Liver
T Cell IL7R,TRM_TNF,CD4,1077,0.051067781,T Cell LTB_high Liver
T Cell IL7R,TRM_TNF,CD4,1771,0.033879164,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2514,0.11097852,Monocyte Liver
T Cell GZMK,TRM_H2AFZ,CD8,1776,0.059684685,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2750,0.049090909,Monocyte Liver
