age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69,Il2ra (CD25),Cd44,Sell (CD62L)
25,1,OK,pass,OK,0,1.51,1,3.29,Plate 4 F12,Plate 4 F12, NP68,6,1.000608411135311,6.58,1,0,2.81
25,1,OK,pass,OK,3.31,2.47,0.48,2.23,Plate 4 G1,Plate 4 G1, N4,6,1.626912150502723,4.68,8.1,6.1,7.16
25,1,OK,pass,OK,3.34,2.39,1.6,2.7,Plate 4 G2,Plate 4 G2, N4,6,0.43679026531249454,3.88,7.14,6.99,10.08
25,1,OK,pass,OK,3.29,2.67,2.48,1.97,Plate 4 G3,Plate 4 G3, N4,6,1.468930131945876,0.75,6.68,7,5.74
25,1,OK,pass,OK,3.38,2.58,2.12,2.6,Plate 4 G4,Plate 4 G4, N4,6,1.272939877731435,0.84,7.11,7.76,8.36
25,1,OK,pass,OK,3.12,2.56,2,1.84,Plate 4 G5,Plate 4 G5, N4,6,1.3980689250612834,0,6.35,5.02,3.55
25,1,OK,pass,OK,3.34,2.38,1.38,1.73,Plate 4 G6,Plate 4 G6, N4,6,0.9954170643639936,0,7.58,2.33,8.72
25,1,OK,pass,OK,3.25,2.5,1.2,1.75,Plate 4 G7,Plate 4 G7, N4,6,1.0044827524702908,2,1.58,7.1,2
25,1,OK,pass,OK,3.47,2.63,1.81,1.49,Plate 4 G8,Plate 4 G8, N4,6,1.4007705903228116,0,6.35,1.65,9.15
25,1,OK,pass,OK,3.03,1.15,1.57,2.73,Plate 4 G9,Plate 4 G9, N4,6,2.273034115511463,5.39,7.88,0.91,10.29
25,1,OK,pass,OK,3.23,2.49,1.76,1.41,Plate 4 G10,Plate 4 G10, N4,6,7.479364078813398,0.18,4.34,7.86,8.5
25,1,OK,pass,OK,3.3,2.63,2.1,2.72,Plate 4 G11,Plate 4 G11, N4,6,2.737788194883182,5.64,7.63,7.48,6.72
25,1,OK,pass,OK,3.17,2.39,1.53,2.33,Plate 4 H1,Plate 4 H1, N4,6,1.6279089251651568,0.69,6.88,2.03,2.56
25,1,OK,pass,OK,3.12,2.27,0,1.97,Plate 4 H2,Plate 4 H2, N4,6,0.5847549240265131,1.44,6.69,2.14,6.35
